First_Reaction,Second_Reaction,Second_Reaction_Author,SBGN_Status,Shared_Entity,Shared_Entity_Class,Shared_Entity_Relation_to_Second_Reaction,Cyclic?,Logic,Value,Is _It_Curated?
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113503"",""PP2A mediated localization of RB1 protein in chromatin"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113643"",""Replication initiation regulation by Rb1/E2F1"")","Gopinathrao, G",Same_SBGN,RB1:RNA primer-DNA primer:origin duplex with DNA damage [nucleoplasm],Complex,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113504"",""Detection of damage during initiation of DNA synthesis in S-phase"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68914"",""DNA polymerase alpha:primase binds at the origin"")",,Different_SBGN,DNA polymerase alpha:primase [nucleoplasm],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113504"",""Detection of damage during initiation of DNA synthesis in S-phase"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113503"",""PP2A mediated localization of RB1 protein in chromatin"")",,Same_SBGN,RNA primer-DNA primer:origin duplex with DNA damage [nucleoplasm],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113504"",""Detection of damage during initiation of DNA synthesis in S-phase"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68950"",""The polymerase component of DNA polymerase alpha:primase synthesizes a 20-nucleotide primer at the origin"")",,Different_SBGN,DNA polymerase alpha:primase [nucleoplasm],Complex,Input,True,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113504"",""Detection of damage during initiation of DNA synthesis in S-phase"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9668597"",""DNA polymerase:primase binds G-strand of the telomere"")","Orlic-Milacic, M",Different_SBGN,DNA polymerase alpha:primase [nucleoplasm],Complex,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1226094"",""Cyclin D:Cdk4/6 mediated phosphorylation of p130 (RBL2) and dissociation of phosphorylated p130 (RBL2) from DP1:E2F4/5 complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1363328"",""Phosphorylated p130 (RBL2) binds SCF(Skp2):Cks1 complex"")","Orlic-Milacic, M",Same_SBGN,"p-T401,S672,S1035-RBL2 [nucleoplasm]",EntityWithAccessionedSequence,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1226094"",""Cyclin D:Cdk4/6 mediated phosphorylation of p130 (RBL2) and dissociation of phosphorylated p130 (RBL2) from DP1:E2F4/5 complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1363276"",""Dephosphorylation of p130 (RBL2) by PP2A"")","Orlic-Milacic, M",Same_SBGN,"p-T401,S672,S1035-RBL2 [nucleoplasm]",EntityWithAccessionedSequence,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1226095"",""Cyclin D:CDK4/6 mediated phosphorylation of p107 (RBL1) and dissociation of phosphorylated p107 (p-RBL1) from DP1:E2F4 complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1363274"",""Dephosphorylation of p107 (RBL1) by PP2A"")","Orlic-Milacic, M",Same_SBGN,"p-T369,S640,S964,S975-RBL1 [nucleoplasm]",EntityWithAccessionedSequence,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1362261"",""p130 (RBL2) associates with MuvB to form DREAM complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8964475"",""DREAM complex binds the TOP2A gene promoter"")","Orlic-Milacic, M",Same_SBGN,DREAM complex [nucleoplasm],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1362261"",""p130 (RBL2) associates with MuvB to form DREAM complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8964492"",""DREAM complex binds the RBL1 gene promoter"")","Orlic-Milacic, M",Same_SBGN,DREAM complex [nucleoplasm],Complex,Input,False,OR,0,True
