First_Reaction,Second_Reaction,Second_Reaction_Author,Shared_Entity,Shared_Entity_Class,Shared_Entity_Relation_to_Second_Reaction,Cyclic?,Logic,Value,Is _It_Curated?
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109636"",""Recognition and Binding of Core Promoter Elements by TFIID"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109637"",""Binding of TFIIA and TFIIB to the pol II promoter:TFIID complex"")","Reinberg, D",pol II promoter:TFIID complex [nucleoplasm],Complex,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109637"",""Binding of TFIIA and TFIIB to the pol II promoter:TFIID complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109638"",""Recruitment of RNA Polymerase II Holoenzyme by TFIIF to the pol II promoter:TFIID:TFIIA:TFIIB complex"")","Reinberg, D",pol II promoter:TFIID:TFIIA:TFIIB complex [nucleoplasm],Complex,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109638"",""Recruitment of RNA Polymerase II Holoenzyme by TFIIF to the pol II promoter:TFIID:TFIIA:TFIIB complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75095"",""Binding of TFIIE to the growing preinitiation complex"")","Reinberg, D",pol II promoter:TFIID:TFIIA:TFIIB:Pol II:TFIIF complex [nucleoplasm],Complex,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109639"",""Formation of the closed pre-initiation complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75949"",""RNA Polymerase II Promoter Opening: First Transition"")","Timmers, HTM",pol II closed pre-initiation complex [nucleoplasm],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111264"",""Addition of nucleotides between position +11 and +30"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113430"",""Extrusion of 5'-end of 30 nt long transcript through the pore in Pol II complex"")",,Pol II transcription complex containing transcript to +30 [nucleoplasm],Complex,Input,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112054"",""RNA Polymerase III Abortive Initiation At Type 3 Open Promoters"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112054"",""RNA Polymerase III Abortive Initiation At Type 3 Open Promoters"")","Geiduschek, EP",RNA Polymerase III:TFIIIB:SNAPc:Type 3 Open Promoter Complex [nucleoplasm],Complex,Input,True,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112054"",""RNA Polymerase III Abortive Initiation At Type 3 Open Promoters"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112156"",""RNA Polymerase III Simple Start Sequence Initiation At Type 3 Promoters"")","Geiduschek, EP",RNA Polymerase III:TFIIIB:SNAPc:Type 3 Open Promoter Complex [nucleoplasm],Complex,Input,True,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112055"",""RNA Polymerase III Abortive Initiation At Type 1 Open Promoters"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112055"",""RNA Polymerase III Abortive Initiation At Type 1 Open Promoters"")","Geiduschek, EP",RNA polymerase III:TFIIIB:TFIIIC:TFIIIA:Type 1 Open Promoter Complex [nucleoplasm],Complex,Input,True,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112055"",""RNA Polymerase III Abortive Initiation At Type 1 Open Promoters"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112153"",""RNA Polymerase III Simple Start Sequence Initiation At Type 1 Promoters"")","Geiduschek, EP",RNA polymerase III:TFIIIB:TFIIIC:TFIIIA:Type 1 Open Promoter Complex [nucleoplasm],Complex,Input,True,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112149"",""RNA Polymerase III Abortive Initiation At Type 2 Open Promoters"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112149"",""RNA Polymerase III Abortive Initiation At Type 2 Open Promoters"")","Geiduschek, EP",RNA Polymerase III:TFIIIB:TFIIIC:Type 2 Open Promoter Complex [nucleoplasm],Complex,Input,True,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112149"",""RNA Polymerase III Abortive Initiation At Type 2 Open Promoters"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112155"",""RNA Polymerase III Simple Start Sequence Initiation At Type 2 Promoters"")","Geiduschek, EP",RNA Polymerase III:TFIIIB:TFIIIC:Type 2 Open Promoter Complex [nucleoplasm],Complex,Input,True,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112150"",""RNA Polymerase III Promoter Opening at Type 2 Promoters"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112149"",""RNA Polymerase III Abortive Initiation At Type 2 Open Promoters"")","Geiduschek, EP",RNA Polymerase III:TFIIIB:TFIIIC:Type 2 Open Promoter Complex [nucleoplasm],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112150"",""RNA Polymerase III Promoter Opening at Type 2 Promoters"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112155"",""RNA Polymerase III Simple Start Sequence Initiation At Type 2 Promoters"")","Geiduschek, EP",RNA Polymerase III:TFIIIB:TFIIIC:Type 2 Open Promoter Complex [nucleoplasm],Complex,Input,False,OR,0,True
